FID IID Height
355 883 NA
355 884 -1.01219122199896
3004 885 -1.11122365629951
3155 886 NA
1629 887 -0.0466313430090201
1747 888 1.59969343495947
1748 889 0.943476461233394
3115 890 -0.248597109052439
841 891 NA
841 892 NA
841 893 0.727438269772551
734 894 1.14109657175069
842 895 0.254742011484083
1749 896 -0.799632772157855
696 897 -0.650467450158798
3575 898 NA
2506 899 0.446249731349121
2506 900 NA
843 901 -1.00277636161869
2010 902 NA
2010 903 1.80610300848046
2010 904 NA
3045 905 0.595131986660093
2654 906 1.20101789562408
1750 907 0.0587732411768066
208 908 -1.51257626798635
844 909 0.171682607168675
3156 910 NA
356 911 -0.540297632978775
3157 912 -0.344471227249872
697 913 1.40716090681999
697 914 NA
1701 915 0.835618078261283
845 916 0.353614627549587
3158 917 -0.245540913726315
846 918 1.58770917018479
3367 919 -0.930870772970615
209 920 -1.55745713175894
847 921 0.0987860711447765
3159 922 1.4031799655704
3159 923 NA
3159 924 NA
3368 925 -0.281409040930032
2507 926 -1.1705560684642
698 927 0.214568683247635
2508 928 -0.98832481322659
2508 929 NA
3576 930 -0.657686481939281
2011 931 -1.39273362023956
1217 932 -1.70017515275799
210 933 0.584189034522845
1220 934 1.69824462550835
3160 935 0.528471001597203
2655 936 -0.757424768363813
357 937 -0.72713827180107
302 938 0.542123849546554
3577 939 0.387113623087339
3444 940 0.494186790447838
1304 941 -1.19928983100775
2656 942 -0.0993336351019335
1221 943 -0.566059867316522
1513 944 1.5544334482122
358 945 NA
2012 946 -2.10504399173242
1184 947 1.44375938644379
359 948 NA
359 949 -0.913656748440969
3369 950 0.0994617948738462
2509 951 -0.43720448300086
244 952 0.689940819010684
2345 953 0.161866391154721
2657 954 -0.164707255629685
2277 955 NA
2277 956 0.250521477571672
2658 957 -0.219176282848724
2659 958 0.709903556392061
2659 959 NA
1591 960 -1.21127409578243
3161 961 -0.444423514781342
2278 962 -0.581015660297009
3983 963 -0.17845825553049
2510 964 0.856811383507736
3162 965 -0.673918250288633
699 966 -0.566577596736045
3549 967 -0.391721222688429
2013 968 0.95990453348565
1291 969 0.511721503828327
3163 970 1.27857208482942
1222 971 -0.159254958975329
360 972 -0.794278627454948
3005 973 -0.0586156077836992
848 974 0.0309782520117656
3042 975 -1.40471788501424
361 976 1.83613990859509
3578 977 0.434265466574442
362 978 NA
2458 979 NA
1592 980 0.736968735760945
2279 981 -0.607884535762989
3480 982 -0.733839574162029
2014 983 0.320535209479904
48 984 1.25460355528006
3164 985 -0.698404509257515
3165 986 -0.310142803473587
2448 987 -1.31667867996826
1057 988 NA
3370 989 -1.78210196715171
2660 990 -0.412374785517166
363 991 NA
363 992 0.207513006170479
2511 993 -1.50168282943526
3984 994 -1.95415614723416
364 995 0.643548416349797
1974 996 1.20190126318714
118 997 0.27449000712103
3006 998 NA
325 999 NA
3817 1000 0.362359877926368
1751 1001 0.865519842294717
1751 1002 NA
3579 1003 -0.91412127520174
4015 1004 0.243444810369563
1126 1005 0.353614627549587
849 1006 -0.161610580774444
3947 1007 -0.684957509507345
850 1008 NA
850 1009 NA
850 1010 -0.769792368486066
2015 1011 1.18991699841247
1058 87 -0.152722990855006
2661 1012 -0.152722990855006
665 1013 0.943389385771654
211 1014 0.101945067281326
1989 1015 -1.24246165711227
1702 1016 1.51103834854252
