FID IID Population
1432 HGDP00702 NAM
1433 HGDP00703 NAM
1434 HGDP00704 NAM
1436 HGDP00706 NAM
1438 HGDP00708 NAM
1440 HGDP00710 NAM
1551 HGDP00832 NAM
1555 HGDP00837 NAM
1556 HGDP00838 NAM
1561 HGDP00843 NAM
1563 HGDP00845 NAM
1564 HGDP00846 NAM
1567 HGDP00849 NAM
1570 HGDP00852 NAM
1571 HGDP00854 NAM
1572 HGDP00855 NAM
1573 HGDP00856 NAM
1574 HGDP00857 NAM
1575 HGDP00858 NAM
1576 HGDP00859 NAM
1577 HGDP00860 NAM
1578 HGDP00861 NAM
1579 HGDP00862 NAM
1580 HGDP00863 NAM
1581 HGDP00864 NAM
1582 HGDP00865 NAM
1585 HGDP00868 NAM
1586 HGDP00869 NAM
1587 HGDP00870 NAM
1588 HGDP00871 NAM
1589 HGDP00872 NAM
1590 HGDP00873 NAM
1592 HGDP00875 NAM
1593 HGDP00876 NAM
1594 HGDP00877 NAM
1684 HGDP00970 NAM
1704 HGDP00995 NAM
1707 HGDP00998 NAM
1708 HGDP00999 NAM
1710 HGDP01001 NAM
1711 HGDP01003 NAM
1714 HGDP01006 NAM
1718 HGDP01010 NAM
1720 HGDP01012 NAM
1721 HGDP01013 NAM
1722 HGDP01014 NAM
1723 HGDP01015 NAM
1726 HGDP01018 NAM
1727 HGDP01019 NAM
1740 HGDP01037 NAM
1744 HGDP01041 NAM
1746 HGDP01043 NAM
1747 HGDP01044 NAM
1750 HGDP01047 NAM
1753 HGDP01050 NAM
1754 HGDP01051 NAM
1756 HGDP01053 NAM
1758 HGDP01055 NAM
1759 HGDP01056 NAM
1760 HGDP01057 NAM
1761 HGDP01058 NAM
1762 HGDP01059 NAM
1763 HGDP01060 NAM
2427 NA19919 ASW
2431 NA19916 ASW
2424 NA19835 ASW
2469 NA20282 ASW
2368 NA19703 ASW
2425 NA19902 ASW
2425 NA19901 ASW
2427 NA19908 ASW
2430 NA19914 ASW
2470 NA20287 ASW
2484 NA20335 ASW
2436 NA19713 ASW
2426 NA19904 ASW
2431 NA19917 ASW
2436 NA19982 ASW
2487 NA20340 ASW
2475 NA20297 ASW
2427 NA19909 ASW
2424 NA19834 ASW
2480 NA20317 ASW
2418 NA19818 ASW
2471 NA20290 ASW
2474 NA20295 ASW
2490 NA20346 ASW
2433 NA19921 ASW
2469 NA20281 ASW
2495 NA20359 ASW
2477 NA20301 ASW
2492 NA20349 ASW
2474 NA20294 ASW
2485 NA20337 ASW
2494 NA20357 ASW
2425 NA19900 ASW
2446 NA20128 ASW
2491 NA20348 ASW
2471 NA20289 ASW
2489 NA20344 ASW
2483 NA20333 ASW
2466 NA20277 ASW
2476 NA20300 ASW
2418 NA19819 ASW
2488 NA20343 ASW
2357 NA19625 ASW
2483 NA20332 ASW
2367 NA19700 ASW
2472 NA20291 ASW
2488 NA20342 ASW
2484 NA20334 ASW
2494 NA20356 ASW
2472 NA20292 ASW
2492 NA20350 ASW
2436 NA19983 ASW
2467 NA20279 ASW
2470 NA20288 ASW
2469 NA20284 ASW
2371 NA19712 ASW
2481 NA20322 ASW
2368 NA19704 ASW
2437 NA19714 ASW
2367 NA19701 ASW
2494 NA20358 ASW
2496 NA20363 ASW
2495 NA20360 ASW
2433 NA20129 ASW
2368 NA19705 ASW
2424 NA19836 ASW
2480 NA20319 ASW
2489 NA20345 ASW
2477 NA20302 ASW
2371 NA19711 ASW
2490 NA20347 ASW
2367 NA19702 ASW
2446 NA20126 ASW
2496 NA20364 ASW
2485 NA20336 ASW
2430 NA19915 ASW
2369 NA19708 ASW
2487 NA20341 ASW
2431 NA19918 ASW
2418 NA19828 ASW
2437 NA19985 ASW
2466 NA20276 ASW
2446 NA20127 ASW
2437 NA19984 ASW
2476 NA20298 ASW
2493 NA20351 ASW
2505 NA20412 ASW
1328 NA06989 CEU
1377 NA11891 CEU
1349 NA11843 CEU
1330 NA12341 CEU
1444 NA12739 CEU
1344 NA10850 CEU
1328 NA06984 CEU
1463 NA12877 CEU
1418 NA12275 CEU
13291 NA06986 CEU
1418 NA12272 CEU
1424 NA10845 CEU
1346 NA10852 CEU
13292 NA07051 CEU
1354 NA12400 CEU
13281 NA12344 CEU
1451 NA12777 CEU
1421 NA12287 CEU
1418 NA10837 CEU
1353 NA12383 CEU
1330 NA12340 CEU
1358 NA12708 CEU
1418 NA12273 CEU
1377 NA11892 CEU
1353 NA12546 CEU
1458 NA12843 CEU
1451 NA12766 CEU
13281 NA12348 CEU
1456 NA12817 CEU
1421 NA10840 CEU
13291 NA06997 CEU
1423 NA11917 CEU
1358 NA12718 CEU
1421 NA12282 CEU
1423 NA11920 CEU
1451 NA12776 CEU
1421 NA12283 CEU
13291 NA07435 CEU
1456 NA12828 CEU
13291 NA07045 CEU
13292 NA07031 CEU
1330 NA12336 CEU
1345 NA07349 CEU
1456 NA12827 CEU
1353 NA12375 CEU
1330 NA12343 CEU
1330 NA12335 CEU
1451 NA12778 CEU
1458 NA12832 CEU
1424 NA11930 CEU
1463 NA12890 CEU
13291 NA07037 CEU
1345 NA07347 CEU
1456 NA12829 CEU
1444 NA12749 CEU
1377 NA11894 CEU
1421 NA12286 CEU
1377 NA10865 CEU
1377 NA10864 CEU
1349 NA10853 CEU
1423 NA11918 CEU
1456 NA12830 CEU
1456 NA12818 CEU
1418 NA10836 CEU
1377 NA11893 CEU
1423 NA11919 CEU
1353 NA12489 CEU
1354 NA12399 CEU
1355 NA12413 CEU
1423 NA10843 CEU
1458 NA12842 CEU
13281 NA12347 CEU
1345 NA07346 CEU
1451 NA12775 CEU
13292 NA07014 CEU
1451 NA12767 CEU
1463 NA12889 CEU
1354 NA12386 CEU
13291 NA06995 CEU
1353 NA12376 CEU
1330 NA12342 CEU
1444 NA12748 CEU
1424 NA11931 CEU
1346 NA12045 CEU
1444 NA12750 CEU
1350 NA11831 CEU
1334 NA12146 CEU
1347 NA11882 CEU
1340 NA07056 CEU
1358 NA12707 CEU
1408 NA12154 CEU
1447 NA12753 CEU
1349 NA11839 CEU
1347 NA10859 CEU
1459 NA12875 CEU
1345 NA07348 CEU
1408 NA12156 CEU
1346 NA12044 CEU
1362 NA11992 CEU
1350 NA11829 CEU
1334 NA12239 CEU
1447 NA12762 CEU
1358 NA12716 CEU
1463 NA12878 CEU
1350 NA10856 CEU
1459 NA12874 CEU
1447 NA12760 CEU
1341 NA06985 CEU
1420 NA12003 CEU
1416 NA10835 CEU
1340 NA07022 CEU
1454 NA12813 CEU
1420 NA10839 CEU
1341 NA07055 CEU
1344 NA12056 CEU
1375 NA10863 CEU
1334 NA12145 CEU
1454 NA12814 CEU
1334 NA10847 CEU
1420 NA12006 CEU
1447 NA12763 CEU
1345 NA07357 CEU
1334 NA12144 CEU
1408 NA10831 CEU
1340 NA07000 CEU
1350 NA11832 CEU
1341 NA06991 CEU
1349 NA11840 CEU
1454 NA12802 CEU
1447 NA12761 CEU
1408 NA10830 CEU
1350 NA10855 CEU
1340 NA06994 CEU
1362 NA11993 CEU
1362 NA11995 CEU
1463 NA12891 CEU
1459 NA12864 CEU
1444 NA12751 CEU
1362 NA10861 CEU
1420 NA12005 CEU
1375 NA12234 CEU
1345 NA07345 CEU
1340 NA07029 CEU
1463 NA12892 CEU
1416 NA12248 CEU
1334 NA10846 CEU
1454 NA12801 CEU
1459 NA12872 CEU
1408 NA12155 CEU
1341 NA06993 CEU
1350 NA11830 CEU
1420 NA10838 CEU
1416 NA12249 CEU
1344 NA12057 CEU
1454 NA12812 CEU
1347 NA11881 CEU
1362 NA11994 CEU
1459 NA12873 CEU
1454 NA12815 CEU
1444 NA12740 CEU
1447 NA12752 CEU
1346 NA12043 CEU
1375 NA12264 CEU
1349 NA10854 CEU
1459 NA12865 CEU
M012 NA19663 MXL
M012 NA19664 MXL
M012 NA19665 MXL
M016 NA19722 MXL
M016 NA19723 MXL
M001 NA19649 MXL
M002 NA19669 MXL
M006 NA19656 MXL
M007 NA19657 MXL
M007 NA19658 MXL
M011 NA19686 MXL
M015 NA19719 MXL
M015 NA19720 MXL
M016 NA19724 MXL
M017 NA19726 MXL
M023 NA19747 MXL
M027 NA19759 MXL
M033 NA19773 MXL
M035 NA19780 MXL
M004 NA19675 MXL
M004 NA19676 MXL
M004 NA19677 MXL
M005 NA19651 MXL
M005 NA19653 MXL
M010 NA19683 MXL
M011 NA19684 MXL
M017 NA19725 MXL
M017 NA19727 MXL
M026 NA19755 MXL
M026 NA19756 MXL
M026 NA19757 MXL
M031 NA19772 MXL
M033 NA19774 MXL
M033 NA19775 MXL
M034 NA19776 MXL
M034 NA19777 MXL
M034 NA19778 MXL
M036 NA19783 MXL
M036 NA19784 MXL
M039 NA19796 MXL
M001 NA19650 MXL
M002 NA19671 MXL
M008 NA19661 MXL
M010 NA19682 MXL
M031 NA19771 MXL
M032 NA19785 MXL
M035 NA19779 MXL
M035 NA19781 MXL
M036 NA19782 MXL
M037 NA19788 MXL
M007 NA19659 MXL
M008 NA19660 MXL
M008 NA19662 MXL
M009 NA19678 MXL
M009 NA19680 MXL
M010 NA19681 MXL
M023 NA19746 MXL
M015 NA19721 MXL
M023 NA19748 MXL
M027 NA19760 MXL
M014 NA19718 MXL
M032 NA19787 MXL
M037 NA19790 MXL
M039 NA19794 MXL
M039 NA19795 MXL
M006 NA19654 MXL
M024 NA19749 MXL
M024 NA19751 MXL
M028 NA19761 MXL
M028 NA19762 MXL
M028 NA19763 MXL
M031 NA19770 MXL
M002 NA19670 MXL
M014 NA19716 MXL
M024 NA19750 MXL
M037 NA19789 MXL
M011 NA19685 MXL
M009 NA19679 MXL
M005 NA19652 MXL
M032 NA19786 MXL
2382 NA19672 MXL
2394 NA19737 MXL
2395 NA19740 MXL
2395 NA19741 MXL
2414 NA19792 MXL
2405 NA19764 MXL
Y001 NA18488 YRI
Y014 NA18519 YRI
Y039 NA19185 YRI
Y075 NA19146 YRI
Y041 NA19097 YRI
Y007 NA18869 YRI
Y073 NA19149 YRI
Y010 NA18509 YRI
Y092 NA19256 YRI
Y006 NA19108 YRI
Y033 NA18925 YRI
Y038 NA19178 YRI
Y001 NA18484 YRI
Y030 NA18916 YRI
Y061 NA19123 YRI
Y111 NA19190 YRI
Y120 NA19249 YRI
Y061 NA19121 YRI
Y036 NA18935 YRI
Y003 NA18497 YRI
Y079 NA19113 YRI
Y116 NA19235 YRI
Y100 NA19174 YRI
Y041 NA19095 YRI
Y041 NA19096 YRI
Y007 NA18868 YRI
Y027 NA18909 YRI
Y036 NA18933 YRI
Y044 NA19175 YRI
Y120 NA19247 YRI
Y073 NA19151 YRI
Y002 NA18489 YRI
Y052 NA19181 YRI
Y092 NA19257 YRI
Y100 NA19117 YRI
Y110 NA19214 YRI
Y002 NA18485 YRI
Y116 NA19237 YRI
Y014 NA18520 YRI
Y110 NA19213 YRI
Y057 NA19224 YRI
Y035 NA19197 YRI
Y111 NA19191 YRI
Y027 NA18911 YRI
Y014 NA18518 YRI
Y035 NA19198 YRI
Y061 NA19122 YRI
Y030 NA18930 YRI
Y036 NA18934 YRI
Y033 NA18924 YRI
Y075 NA19147 YRI
Y001 NA18486 YRI
Y003 NA18499 YRI
Y002 NA18487 YRI
Y120 NA19248 YRI
Y030 NA18917 YRI
Y079 NA19115 YRI
Y079 NA19114 YRI
Y110 NA19215 YRI
Y039 NA19184 YRI
Y052 NA19183 YRI
Y044 NA19176 YRI
Y007 NA18867 YRI
Y038 NA19180 YRI
Y075 NA19148 YRI
Y006 NA19109 YRI
Y116 NA19236 YRI
Y019 NA18874 YRI
Y038 NA19179 YRI
Y039 NA19186 YRI
Y025 NA19252 YRI
Y052 NA19182 YRI
Y057 NA19226 YRI
Y057 NA19225 YRI
Y092 NA19258 YRI
Y111 NA19189 YRI
Y003 NA18498 YRI
Y100 NA19118 YRI
Y035 NA19199 YRI
Y006 NA19107 YRI
Y019 NA18875 YRI
Y025 NA18907 YRI
Y010 NA18510 YRI
Y010 NA18511 YRI
Y033 NA18923 YRI
Y073 NA19150 YRI
Y027 NA18910 YRI
Y019 NA18873 YRI
Y005 NA18505 YRI
Y045 NA19202 YRI
Y117 NA19240 YRI
Y117 NA19239 YRI
Y004 NA18501 YRI
Y043 NA19137 YRI
Y072 NA19153 YRI
Y023 NA18857 YRI
Y058 NA19223 YRI
Y004 NA18500 YRI
Y024 NA18861 YRI
Y045 NA19201 YRI
Y074 NA19144 YRI
Y112 NA19193 YRI
Y005 NA18503 YRI
Y005 NA18504 YRI
Y048 NA19203 YRI
Y074 NA19143 YRI
Y017 NA18871 YRI
Y017 NA18870 YRI
Y045 NA19200 YRI
Y013 NA18517 YRI
Y058 NA19221 YRI
Y024 NA18863 YRI
Y023 NA18855 YRI
Y050 NA19209 YRI
Y056 NA19160 YRI
Y072 NA19152 YRI
Y042 NA19102 YRI
Y047 NA19172 YRI
Y018 NA18854 YRI
Y013 NA18515 YRI
Y117 NA19238 YRI
Y071 NA19142 YRI
Y028 NA18913 YRI
Y043 NA19139 YRI
Y028 NA18912 YRI
Y058 NA19222 YRI
Y009 NA18508 YRI
Y077 NA19129 YRI
Y112 NA19194 YRI
Y072 NA19154 YRI
Y043 NA19138 YRI
Y018 NA18852 YRI
Y060 NA19120 YRI
Y050 NA19210 YRI
Y048 NA19204 YRI
Y009 NA18507 YRI
Y056 NA19159 YRI
Y050 NA19211 YRI
Y013 NA18516 YRI
Y024 NA18862 YRI
Y042 NA19101 YRI
Y017 NA18872 YRI
Y112 NA19192 YRI
Y016 NA18521 YRI
Y012 NA18858 YRI
Y071 NA19141 YRI
Y040 NA19093 YRI
Y101 NA19132 YRI
Y051 NA19206 YRI
Y009 NA18506 YRI
Y105 NA19098 YRI
Y101 NA19130 YRI
Y077 NA19128 YRI
Y101 NA19131 YRI
Y016 NA18522 YRI
Y051 NA19208 YRI
Y060 NA19116 YRI
Y028 NA18914 YRI
Y077 NA19127 YRI
Y040 NA19094 YRI
Y056 NA19161 YRI
Y018 NA18853 YRI
Y047 NA19173 YRI
Y047 NA19171 YRI
Y071 NA19140 YRI
Y012 NA18859 YRI
Y060 NA19119 YRI
Y012 NA18860 YRI
Y051 NA19207 YRI
Y042 NA19103 YRI
Y105 NA19099 YRI
Y016 NA18523 YRI
Y020 NA18876 YRI
Y022 NA18881 YRI
Y118 NA19242 YRI
Y021 NA18879 YRI
Y054 NA19163 YRI
Y113 NA19187 YRI
Y108 NA19195 YRI
Y059 NA19220 YRI
Y119 NA19246 YRI
Y062 NA19253 YRI
Y062 NA19254 YRI
Y109 NA19260 YRI
Y114 NA19262 YRI
Y021 NA18878 YRI
Y032 NA18921 YRI
Y080 NA19104 YRI
Y080 NA19105 YRI
Y078 NA19110 YRI
Y102 NA19133 YRI
Y103 NA19135 YRI
Y055 NA19156 YRI
Y055 NA19157 YRI
Y049 NA19166 YRI
Y108 NA19196 YRI
Y064 NA19216 YRI
Y109 NA19259 YRI
Y020 NA18877 YRI
Y034 NA18931 YRI
Y029 NA18915 YRI
Y113 NA19250 YRI
Y076 NA19124 YRI
