FID	IID	Pheno
5257	5257	0.730853824691708
4686	4686	0.38374847776472
5818	5818	-0.0347369731057197
659	659	-1.78307681751513
8446	8446	-1.21326463312632
4546	4546	1.01558254770785
1078	1078	1.42669524019058
5766	5766	0.110929030766587
4235	4235	-0.985000381112285
8186	8186	0.434556072088669
2670	2670	-1.72019805577219
9712	9712	-0.645884793248416
6222	6222	1.12046203927031
7607	7607	0.936936380086986
916	916	-0.0326164868352093
4779	4779	0.411874786620741
1013	1013	1.41577002214655
4159	4159	1.64162862205637
9090	9090	0.226159739638477
5313	5313	0.680039422959452
9062	9062	0.626208139367265
10	10	-1.28661400802729
5374	5374	0.385796672135226
6431	6431	-1.33410336929977
6205	6205	-0.740984135220815
3939	3939	-0.867598791325987
1777	1777	0.318316252872664
4188	4188	-1.9224711938171
9317	9317	2.55642712434142
915	915	-0.679169343406957
3552	3552	0.369164870217047
313	313	-1.40311762344742
162	162	-0.47624581727993
2818	2818	-0.366771741751952
9231	9231	-1.0960878292027
8198	8198	0.0728758478692094
3221	3221	-0.652125604716292
1416	1416	-0.0251355901720229
4098	4098	-0.487192670572802
1488	1488	1.15873127315649
2512	2512	0.994675003411897
9851	9851	-0.350878963051302
8238	8238	-0.702306089715135
6065	6065	-1.00413222235023
6598	6598	0.392737919303884
468	468	0.070410562097962
4912	4912	2.03850870488338
829	829	-1.5693245526989
4402	4402	-0.405504970107667
1593	1593	0.175360948290341
4975	4975	0.320695062737727
4830	4830	1.27796227610111
5132	5132	1.09479537172359
3401	3401	-0.554299791979548
7085	7085	0.543747225416167
1277	1277	0.57328326382327
135	135	-1.48447404481215
1588	1588	-0.563766320898549
957	957	0.908736871331826
9592	9592	0.840485280538291
713	713	0.255094509251889
4252	4252	-1.77137934141948
6529	6529	-0.720897689466324
3386	3386	-0.577636430737114
8807	8807	0.115529055491747
4420	4420	-1.63526937247714
9264	9264	-0.349042721734398
8697	8697	1.10028151739665
7126	7126	0.208962063933732
4900	4900	1.52879521677892
2638	2638	-0.751125484260711
3437	3437	0.298989305056769
1824	1824	0.57029457156484
9091	9091	-1.01161239802738
8931	8931	-0.602545495454055
9276	9276	-0.504903700324825
4413	4413	-0.63853715478611
7961	7961	0.294776844190342
4650	4650	0.106743572736207
8817	8817	-0.51921095613783
8892	8892	0.631613265568222
720	720	-2.15948395736261
5910	5910	-0.791808537175899
3031	3031	0.431422886042592
4551	4551	-0.0839834869225082
