FID	IID	Pheno
2307	2307	0.00998920056841179
379	379	-1.45252773490108
478	478	0.110971665376042
1545	1545	1.11362854103564
990	990	-0.209933313933735
1907	1907	1.0397546620555
369	369	0.0796743172530386
1694	1694	-1.85795188080866
2137	2137	-1.57372278121795
2314	2314	1.5286172139592
782	782	1.75419553200552
378	378	-0.674471187154896
696	696	-0.632900631545612
153	153	-1.43024364964035
331	331	0.091022268717701
1248	1248	-0.173723753004582
1944	1944	-0.0737003229869713
2188	2188	0.419018335320376
2020	2020	0.191065817069627
1207	1207	-1.83016812295158
197	197	-0.185050414149521
1206	1206	-0.912818643308271
807	807	0.471144717768233
822	822	-0.498109127893838
1014	1014	0.709491268022188
383	383	0.813267968801948
953	953	0.953125154724528
1169	1169	0.778134389702734
1782	1782	0.534404732027598
539	539	0.794970749593004
1736	1736	1.50653649989346
1119	1119	0.215896531844086
260	260	-0.0908726401873914
773	773	-0.00695183091210216
33	33	0.249274741920668
460	460	-0.676314339955825
1366	1366	-0.179413928342862
664	664	0.052476827372242
781	781	0.0320877845900994
1457	1457	-0.612458674799285
507	507	1.467557717326
555	555	-0.226439386371558
1777	1777	1.58887235248629
2094	2094	-0.181488027976914
2198	2198	-1.02840826316403
840	840	-1.05518160691846
2386	2386	0.349495469648398
1183	1183	0.380680399165647
1929	1929	-1.97611342873897
678	678	1.05485291739016
1691	1691	0.20826655939341
1498	1498	0.458498460238388
1586	1586	0.970918151688705
192	192	-1.35551240560533
2084	2084	-0.575363737224619
1474	1474	-0.741457673997518
396	396	-0.491335365386407
1831	1831	-0.81079806445943
351	351	1.16600013249228
124	124	-0.0718780697773453
2251	2251	0.0997469558114054
202	202	1.58896677797635
710	710	0.614311555438147
1392	1392	-0.291494433643214
232	232	-0.579288648425736
67	67	0.634313962752509
1131	1131	-0.582661862993256
2370	2370	0.33278081664117
1461	1461	-0.261712527788463
2082	2082	-0.836605935352577
611	611	-0.175894917255364
1872	1872	-0.687804441615166
1814	1814	-0.688015423656165
1775	1775	-1.1731463819464
1400	1400	-0.604347741049743
763	763	-1.44100245682232
1677	1677	-0.190694145394152
695	695	-1.04695382724
1412	1412	0.870787365158936
572	572	-1.03364134161034
414	414	0.44377374604548
1129	1129	-1.63342157661304
1566	1566	-1.22082689037458
2102	2102	2.09831315342338
325	325	1.17306689093907
2397	2397	0.244534142268836
1192	1192	0.628280669479437
1786	1786	1.80549654119365
441	441	-1.95412119869206
2255	2255	-0.99606113777931
1657	1657	0.766126401711528
707	707	2.55081347473317
1597	1597	0.180437802799914
206	206	0.130085516431401
1321	1321	1.3576226694107
190	190	0.0390929102926744
2218	2218	-0.579267506305396
2122	2122	0.0719545391627846
109	109	-0.350108544866789
1895	1895	0.565537152371755
404	404	-0.230406633817545
1515	1515	-0.0686710128352159
2277	2277	-0.926481577463399
1806	1806	-0.499753204130467
217	217	-1.30763900297993
647	647	-0.734977135460638
1683	1683	-1.53769388183566
306	306	-0.219595586574138
361	361	1.19421740761082
21	21	-1.54708973138387
174	174	-1.53763435062082
447	447	1.34119436642368
2039	2039	-0.138225923428043
738	738	1.11289128687265
1148	1148	-1.57260787471647
1081	1081	0.0516738842932738
692	692	-2.88225534609397
705	705	1.01608640106399
281	281	-0.463955500035459
251	251	0.879529040725178
1588	1588	0.350072870691929
2347	2347	1.23905968202605
1558	1558	-0.628007069739762
1	1	-1.00886496804652
2390	2390	0.248949575494669
1991	1991	1.20002314392758
1741	1741	0.312344991777362
1343	1343	-0.143126688127748
1600	1600	0.574067033786271
1093	1093	0.873363961384739
473	473	-1.08287139041825
1837	1837	1.41261056808362
935	935	-2.00853826252654
540	540	0.277444499955963
79	79	-1.76762641982936
1598	1598	1.76559152424096
1918	1918	0.872400880804535
2104	2104	0.403117219770092
1947	1947	-1.76783611253962
931	931	-0.291680086451977
2224	2224	1.63690850276785
1647	1647	0.445526830837845
7	7	1.31593676708933
360	360	0.957650330650959
2151	2151	0.303317001334838
1115	1115	0.347289150340118
1341	1341	0.6032278824456
243	243	1.28580559494377
1746	1746	-0.569544820955546
753	753	-0.281051032035206
2325	2325	1.63993165573958
1143	1143	0.52437147852767
434	434	-0.628767511409758
2237	2237	1.97120198649223
720	720	0.590755755739122
1458	1458	-0.741930595404728
1139	1139	1.70175815347423
224	224	0.136488355405738
2015	2015	-0.0568814574802445
171	171	-0.871865854166452
932	932	-0.882498294938517
734	734	1.29857397227723
599	599	0.255026518779288
1755	1755	-0.807725428172173
1849	1849	0.47661393587815
155	155	-1.11787318036549
150	150	-0.954593052204583
451	451	-0.785886839628763
1705	1705	-0.088787422841829
56	56	-0.253749179055731
686	686	1.32144738349513
435	435	0.573310286607174
1500	1500	-0.925397478346615
1113	1113	-0.928561223896804
1382	1382	1.05141520842939
700	700	2.31807522459278
1822	1822	0.762189490124864
810	810	0.395190547661514
1066	1066	2.72009852646741
436	436	1.42586443699639
654	654	-0.561315601161895
1742	1742	1.34916156932704
785	785	0.54731998062993
1516	1516	-0.730411365369372
1048	1048	0.885864999914351
1870	1870	-1.08868264037395
1614	1614	0.797374210912133
861	861	0.671646453628458
878	878	1.30492313237553
1470	1470	0.477484893989051
1512	1512	0.511772709413566
765	765	-0.362046266510209
794	794	-0.73754866559513
859	859	0.2969733562314
2330	2330	0.0862104973356636
1532	1532	2.70903218743402
1114	1114	0.689972161967586
255	255	-0.0644466940838722
586	586	-0.443879420302386
853	853	2.48034455768171
1581	1581	0.824901753317164
2243	2243	-0.414299172097633
736	736	0.924213815981381
432	432	0.766555565147359
1420	1420	1.82141895574168
2275	2275	0.224865937590568
592	592	0.459630296794922
2239	2239	-1.62944441854532
1283	1283	0.0948544604469641
1322	1322	0.228730431463836
2265	2265	-0.807340205232545
1200	1200	0.05983655933559
1339	1339	1.06953539434392
381	381	0.290826563195463
606	606	1.60599747655713
767	767	-0.531892563665682
392	392	-0.999073072072441
2356	2356	-0.582689473283625
1060	1060	-0.261774634253506
1575	1575	-0.621788299225705
1313	1313	1.07364902017349
1291	1291	0.559650591890582
1603	1603	-0.103502038868403
2126	2126	-0.290979106063114
1087	1087	1.0900015110484
1968	1968	-1.87356004494007
2169	2169	-0.494293701375724
2278	2278	0.750187596500942
908	908	0.219687340571652
1496	1496	0.703900343631346
2215	2215	1.41386314707469
1194	1194	-0.407892162064462
1621	1621	-0.574799363216605
2037	2037	-0.679251105877382
866	866	1.17106013070847
954	954	-0.8708634641013
2205	2205	-0.581401651736042
1255	1255	-0.948564979854951
1214	1214	-0.00449812142147406
267	267	0.486258538270371
1179	1179	-0.463310350653329
1224	1224	0.0803406932273414
583	583	0.268646020808179
575	575	-1.58177536471477
352	352	-1.5573173734355
940	940	-0.464500695664691
1067	1067	-0.302938623311222
944	944	1.94460718958938
559	559	-0.511623662306569
760	760	0.17087188582496
1381	1381	-0.744679021927305
1000	1000	0.0205186800266074
860	860	-0.378273140553444
998	998	0.762636251404113
2075	2075	0.41452337786211
261	261	-0.0237205432178584
2038	2038	-0.736593698321346
1651	1651	0.111867113226759
1590	1590	-0.482380233009062
2268	2268	0.47266869693841
1554	1554	0.497931991541035
672	672	1.48613856393059
533	533	-0.42803542132115
2328	2328	0.302267685545863
2226	2226	0.571646068555506
152	152	1.49406525095769
508	508	1.18845649174715
1885	1885	0.795220490069717
1001	1001	-1.42400836788279
1033	1033	-0.523318189240408
975	975	-0.640022627167358
1388	1388	0.869802281456853
247	247	-2.09900719214003
885	885	1.30138017148782
1538	1538	-0.556919533633072
1096	1096	0.805942837648683
1905	1905	-0.455273982064763
1477	1477	-0.918289866614061
1689	1689	-3.31351326505339
556	556	-2.35383899869899
1859	1859	0.351131668328195
1159	1159	-1.70297291209633
1285	1285	0.0221100276301979
2266	2266	1.54035131039709
525	525	0.174675059145464
1172	1172	0.665142487530529
2101	2101	0.991858645248448
26	26	-0.0907246314043106
81	81	-0.444467711472415
666	666	-0.13140184707534
1876	1876	-0.204982889131682
1005	1005	0.605315900129573
1553	1553	-0.102213424377078
20	20	0.185029965607973
1611	1611	-1.55061255161636
2336	2336	0.0244049266988257
744	744	-0.174924186846879
2391	2391	1.06300257987343
1780	1780	-0.0822239412886588
1778	1778	-0.724767106425441
2024	2024	0.767520071494954
2293	2293	1.38316476715566
887	887	0.833298678901265
1126	1126	-1.0711791089561
2388	2388	-0.600981651439901
967	967	-0.719540287309505
1808	1808	0.261081631377602
739	739	-0.602900345284205
1902	1902	1.10246417986162
1908	1908	1.18685727889391
316	316	0.136012171992272
1744	1744	1.03364880130989
156	156	-0.872935583859482
714	714	-0.470162638351395
2080	2080	-0.179411074725343
920	920	1.97775042443865
2359	2359	-0.196942934059703
1794	1794	-0.345809182697989
711	711	-2.17695356908691
608	608	-1.66174033291515
1027	1027	-1.54707791039289
607	607	-0.556950867372109
1282	1282	-0.234693999571692
2310	2310	-0.326143093630686
137	137	0.255193779890035
1573	1573	-0.782309135983078
238	238	-1.30406533734892
729	729	-0.883349137639251
1459	1459	-0.111552778723775
23	23	-0.110667960312508
492	492	0.65125055252271
277	277	-0.323033565269072
1132	1132	0.390407357170866
1335	1335	0.674775840934962
1733	1733	-1.4648013362826
145	145	-0.353693013833115
1232	1232	0.342181051106796
1021	1021	-0.388967548948816
5	5	-0.659884670271787
1769	1769	-0.435561061628133
1936	1936	0.458119935389152
2092	2092	-1.41342633238538
1099	1099	0.0725382544224619
386	386	0.0618965700064332
1927	1927	-0.672516087541153
1145	1145	-0.814213495391049
1395	1395	-0.928068035913187
1791	1791	0.761404131901759
365	365	-0.182395604171546
684	684	-0.369487029121393
1098	1098	-0.249750653488307
2031	2031	-0.821819927482166
1195	1195	0.833220260638692
1201	1201	0.325332345192761
2048	2048	-0.523842428594296
2263	2263	-0.913054039840144
1674	1674	-2.2924216715937
1738	1738	1.11231270833929
